YearBuilt,TotRmsAbvGrd,OverallQual,GarageArea,GrLivArea,OverallCond,SalePrice
2003,8,7,548,1710,5,208500
1976,6,6,460,1262,8,181500
2001,6,7,608,1786,5,223500
1915,7,7,642,1717,5,140000
2000,9,8,836,2198,5,250000
1993,5,5,480,1362,5,143000
2004,7,8,636,1694,5,307000
1973,7,7,484,2090,6,200000
1931,8,7,468,1774,5,129900
1939,5,5,205,1077,6,118000
1965,5,5,384,1040,5,129500
2005,11,9,736,2324,5,345000
1962,4,5,352,912,6,144000
2006,7,7,840,1494,5,279500
1960,5,6,352,1253,5,157000
1929,5,7,576,854,8,132000
1970,5,6,480,1004,7,149000
1967,6,4,516,1296,5,90000
2004,6,5,576,1114,5,159000
1958,6,5,294,1339,6,139000
2005,9,8,853,2376,5,325300
1930,6,7,280,1108,7,139400
2002,7,8,534,1795,5,230000
1976,6,5,572,1060,7,129900
1968,6,5,270,1060,8,154000
2007,7,8,890,1600,5,256300
1951,5,5,576,900,7,134800
2007,7,8,772,1704,5,306000
1957,6,5,319,1600,6,207500
1927,4,4,240,520,6,68500
1920,6,4,250,1317,4,40000
1966,6,5,271,1228,6,149350
2007,7,8,484,1234,5,179900
1959,6,5,447,1700,5,165500
2005,6,9,556,1561,5,277500
2004,9,8,691,2452,5,309000
1994,6,5,672,1097,5,145000
1954,5,5,498,1297,6,153000
1953,5,5,246,1057,7,109000
1955,6,4,0,1152,5,82000
1965,6,6,440,1324,5,160000
1959,5,5,308,1328,6,170000
1983,5,5,504,884,7,144000
1975,5,5,308,938,6,130250
1959,6,5,300,1150,6,141000
2005,6,9,576,1752,5,319900
2003,6,7,670,2149,5,239686
2006,7,8,826,1656,5,249700
1920,8,4,0,1452,5,113000
1966,6,5,386,955,7,127000
1997,6,6,388,1470,6,177000
1934,6,6,528,1176,6,114500
1963,5,5,516,816,5,110000
1981,5,9,894,1842,5,385000
1955,6,5,572,1360,5,130000
1964,7,6,576,1425,5,180500
1999,7,8,480,1739,5,172500
2004,7,7,565,1720,5,196500
2006,10,10,641,2945,5,438780
1972,4,5,352,780,7,124900
2004,5,6,576,1158,5,158000
1920,6,5,288,1111,7,101000
2006,6,8,484,1370,5,202500
1921,9,7,480,1710,6,140000
1997,8,7,645,2034,5,219500
2004,9,8,852,2473,5,317000
1970,7,7,576,2207,5,180000
2003,7,7,558,1479,5,226000
1945,4,4,220,747,6,80000
1953,7,7,667,2287,4,225000
1973,8,7,516,2223,6,244000
1982,4,4,360,845,6,129500
1998,7,7,427,1718,5,185000
1954,6,5,490,1086,7,144900
1915,8,3,379,1605,6,107400
1973,5,4,297,988,5,91000
1956,4,4,283,952,7,135750
1948,6,5,240,1285,5,127000
1968,8,4,0,1768,5,136500
1910,5,5,440,1230,6,110000
1968,8,6,509,2142,6,193500
1998,5,6,405,1337,5,153500
2007,6,8,758,1563,5,245000
1960,6,5,461,1065,5,126500
1995,7,7,400,1474,5,168500
1991,9,8,462,2417,5,260000
2005,6,6,400,1560,5,174000
2009,4,6,528,1224,5,164500
1915,6,3,0,1526,2,85000
1994,5,4,0,990,5,123600
1950,4,4,420,1040,5,109900
1961,6,5,480,1235,3,98600
1921,5,5,432,964,7,163500
1910,9,6,506,2291,6,133900
1997,7,6,684,1786,5,204750
1993,6,6,420,1470,8,185000
1999,6,7,472,1588,5,214000
1965,6,4,432,960,5,94750
1920,5,5,366,835,5,83000
1959,6,4,0,1225,5,128950
1977,6,6,480,1610,7,205000
1985,7,6,476,1732,5,178000
1979,8,5,410,1535,5,118964
2009,6,7,740,1226,5,198900
1931,7,7,240,1818,4,169500
2003,9,8,648,1992,5,250000
1885,6,4,273,1047,7,100000
1948,5,5,250,789,5,115000
1919,7,5,0,1517,7,115000
1977,7,6,546,1844,6,190000
1954,7,6,325,1855,4,136900
2000,7,7,400,1430,5,180000
2007,10,7,792,2696,5,383970
1953,7,6,450,2259,5,217000
1945,9,6,180,2320,8,259500
1999,5,6,440,1458,5,176000
1962,6,5,288,1092,5,139000
2006,5,5,430,1125,5,155000
1990,11,7,594,3222,5,320000
2005,8,6,390,1456,5,163990
1969,4,6,540,988,5,180000
1939,4,4,264,1123,5,100000
1958,5,6,288,1080,7,136000
1993,5,6,530,1199,5,153900
1979,7,6,435,1586,5,181000
1935,5,6,0,754,8,84500
1976,5,6,440,958,5,128000
1930,5,5,0,840,7,87000
1966,6,6,453,1348,5,155000
1958,6,5,750,1053,7,150000
1966,8,7,487,2157,6,226000
2000,7,6,390,2054,5,244000
1959,7,5,624,1327,6,150750
2001,6,8,471,1296,5,220000
1968,7,5,440,1721,6,180000
1970,7,7,530,1682,6,174000
1967,5,5,318,1214,5,143000
1988,9,7,766,1959,5,171000
1999,7,8,660,1852,5,230000
1997,7,6,470,1764,5,231500
1971,5,4,0,864,5,115000
2005,7,7,660,1734,5,260000
1952,6,5,720,1385,4,166000
1999,6,7,577,1501,5,204000
1963,10,5,504,1728,5,125000
2004,7,6,380,1709,5,130000
1931,5,5,180,875,7,105000
2001,8,7,434,2035,5,222500
2004,6,7,0,1080,5,141000
1936,7,5,240,1344,4,115000
1975,5,5,440,969,6,122000
2007,6,8,866,1710,5,372402
1971,8,6,495,1993,5,190000
1960,4,6,564,1252,7,235000
1923,7,6,312,1200,5,125000
1924,5,6,0,1096,5,79000
1950,5,5,625,1040,7,109500
2009,8,8,680,1968,5,269500
2004,8,7,678,1947,5,254900
2005,9,7,576,2462,5,320000
1984,6,6,516,1232,6,162500
2003,10,9,726,2668,5,412500
2005,7,7,532,1541,5,220000
1956,4,4,0,882,6,103200
1926,5,6,216,1616,7,152000
